8,23,6,7,7,,,,,6行,方案78
8,23,5,5,5,5,1,1,,0行,方案79
8,23,6,,5,1,1,1,,1行,方案79
8,23,6,6,6,6,4,3,3,2行,方案79
8,23,0,0,0,4,4,3,2,3行,方案79
8,23,0,0,0,4,3,3,2,4行,方案79
8,23,7,,7,4,2,2,2,5行,方案79
8,23,7,7,7,,,,,6行,方案79
8,23,4,4,4,2,2,2,,0行,方案80
8,23,3,,4,4,1,2,,1行,方案80
8,23,3,3,3,1,1,2,5,2行,方案80
8,23,6,6,3,1,1,5,5,3行,方案80
8,23,6,7,7,0,0,0,5,4行,方案80
8,23,6,,7,0,0,0,5,5行,方案80
8,23,6,7,7,,,,,6行,方案80
8,23,5,5,5,5,1,1,,0行,方案81
8,23,6,,5,1,1,1,,1行,方案81
8,23,6,6,6,6,4,4,4,2行,方案81
8,23,0,0,0,4,4,3,2,3行,方案81
8,23,0,0,0,3,3,3,2,4行,方案81
8,23,7,,7,3,2,2,2,5行,方案81
8,23,7,7,7,,,,,6行,方案81
8,23,5,5,5,5,3,3,,0行,方案82
8,23,4,,5,0,0,3,,1行,方案82
8,23,4,6,6,0,0,3,3,2行,方案82
8,23,4,4,6,0,0,7,7,3行,方案82
8,23,2,4,6,1,1,1,7,4行,方案82
8,23,2,,6,1,1,7,7,5行,方案82
8,23,2,2,2,,,,,6行,方案82
8,23,5,5,5,5,3,3,,0行,方案83
8,23,1,,5,0,0,3,,1行,方案83
8,23,1,1,2,0,0,3,3,2行,方案83
8,23,1,1,2,0,0,4,4,3行,方案83
8,23,2,2,2,4,4,4,6,4行,方案83
8,23,7,,7,6,6,6,6,5行,方案83
8,23,7,7,7,,,,,6行,方案83
8,23,2,2,2,1,3,3,,0行,方案84
8,23,4,,2,1,1,3,,1行,方案84
8,23,4,4,2,1,1,3,3,2行,方案84
8,23,6,4,5,7,7,0,0,3行,方案84
8,23,6,4,5,5,7,0,0,4行,方案84
